id,nom,nom_developpe,guide_eco,guide_innov,eti,secteur_eco,secteur_innov,adr0,adr1,adr2,cp,ville,cedex,pays,tel1,tel2,fax,email,web,siren,siret,naf,sicovam,forme_juridique,autre_forme_juridique,etablissement,type_structure,actionnaire,nationalite,effectif,annee_effectif,ca,annee_ca,groupe,nationalite_groupe,effectif_groupe,annee_effectif_groupe,ca_groupe,annee_ca_groupe,regroupement,contact_maj_civ,contact_maj_nom,contact_maj_prenom,contact_maj_fonction,contact_maj_email,contact_maj_tel,changed,
3563,Alpes audit conseils,NULL,1,0,0,Comptabilité / Expertise-comptable,NULL,NULL,127 rue de Gascogne,NULL,73600,Moûtiers,NULL,FR,04 79 24 14 17,NULL,04 79 24 56 62,contact@alpesauditconseils.fr,NULL,392154225,39215422500024,6920Z,NULL,SARL,NULL,Siège,Entreprise,NULL,NULL,NULL,NULL,2,4 M€,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1563365550,
3564,NEWA ARCHITECTES,,1,0,0,Etudes / Ingénierie / Architecture,NULL,,20 rue Octavie,,69100,Villeurbanne,NULL,FR,04 37 48 84 51,,04 72 44 09 55,newa@newa-architectes.com,,523930881,52393088100017,7111Z,,SAS,NULL,Siège,Entreprise,,,5,NULL,NULL,NULL,,,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472922453,
3565,ABB FRANCE,NULL,1,0,0,Electrique / Electronique,NULL,NULL,324, rue du Chat Botté,CS 20200 BEYNOST,01708,Miribel Cedex,NULL,FR,04 37 40 40 00,NULL,04 37 40 40 01,NULL,www.abb.fr,335146312,33514631200202,2733Z,NULL,SAS,NULL,Etablissement secondaire,Entreprise,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1600,2017,920 M€,2017,NULL,Mme,NULL,NULL,NULL,NULL,NULL,1528981808,
3567,ABC COMPTABILITÉ,NULL,1,0,0,Comptabilité / Expertise-comptable,NULL,NULL,1 pl. d'Apvril,BP 165,38003,Grenoble ,cedex,FR,04 38 24 01 70,NULL,04 38 24 01 79,NULL,NULL,414247999,41424799900082,6920Z,NULL,SARL,NULL,Siège,Entreprise,NULL,NULL,20 à 49,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1538137917,
3568,ABISS,,1,0,0,Santé,NULL,,14 rue de la Télématique,,42000,Saint-Étienne,NULL,FR,04 77 91 28 58,,04 77 91 28 59,info@abiss.fr,www.abiss.fr,433205606,43320560600034,3250A,,SAS,NULL,Siège,Entreprise,,,17,NULL,NULL,NULL,Sixaume (Saint-Priest-en-Jarez, 42),,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472922453,
3569,ABMI SUD-EST,NULL,1,1,0,Etudes / Ingénierie / Architecture,Sociétés d'ingénierie,Parc technologique de Lyon - L'Envol,284 allée Alexandre Borodine,NULL,69791,Saint-Priest ,cedex,FR,04 72 72 93 10,NULL,04 72 73 14 13,secretariat-lyon@abmi-groupe.com,www.abmi-groupe.com,351708029,35170802900142,7112B,NULL,SARL,NULL,Etablissement secondaire,Entreprise,NULL,NULL,66,2016,14,7 M€,2016,NULL,NULL,700,2015,50 M€,2015,NULL,Mme,NULL,NULL,NULL,NULL,NULL,1510925525,
3571,GROUPE ABSCISSE,NULL,1,0,0,Conseil / Audit,NULL,NULL,40 rue Laure Diebold,NULL,69009,Lyon,NULL,FR,04 78 83 94 34 ,NULL,04 78 83 41 43,info@abscisse-consult.fr,groupe-abscisse.com,377793401,37779340100037,6920Z,NULL,SAS,NULL,Siège,Entreprise,NULL,NULL,NULL,NULL,2,1 M€,2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1563365568,
3572,ABYLSEN RHÔNE-ALPES,NULL,1,0,0,Etudes / Ingénierie / Architecture,NULL,Imm. les Topazes,92 cours Vitton,NULL,69006,Lyon,NULL,FR,04 37 48 85 10,NULL,04 37 48 85 18,NULL,www.abylsen.com,481277911,48127791100014,7112B,NULL,SAS,NULL,Siège,Entreprise,NULL,NULL,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472922736,
3573,AC ENVIRONNEMENT ,NULL,1,0,0,Etudes / Ingénierie / Architecture,NULL,NULL,60 Rue Clément Ader,NULL,42150 ,RIORGES,NULL,FR,0 800 400 100,NULL,0 825 800 954,contact@ac-environnement.com,www.ac-environnement.com,441355914,44135591400108,7120B,NULL,SARL,NULL,Siège,Entreprise,Abenex, Garibaldi Participations,NULL,670,2018,53 M€,2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1550745646,
3574,ACADÉMIE DE GRENOBLE - RECTORAT,NULL,1,0,0,Etat / Organismes publics,NULL,NULL,7 place Bir-Hakeim,BP 1065,38021,Grenoble ,cedex,FR,04 76 74 70 00,NULL,NULL,NULL,www.ac-grenoble.fr,NULL,NULL,NULL,NULL,NULL,NULL,Siège,Secteur public,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1541615300,
3575,ACADÉMIE DE LYON - RECTORAT,NULL,1,0,0,Etat / Organismes publics,NULL,NULL,92 rue de Marseille,BP 7227,69354,Lyon ,cedex  07,FR,04 72 80 60 60,NULL,04 78 58 54 78,sga@ac-lyon.fr,www.ac-lyon.fr,176904308,17690430800010,NULL,NULL,NULL,NULL,Siège,Secteur public,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1541615315,
3576,ACCENTURE LYON,NULL,1,0,0,Conseil / Audit,NULL,Bât 1,1 Place Berthe Morisot,NULL,69800,Saint Priest,NULL,FR,01 53 23 53 23,NULL,01 53 23 55 55,NULL,www.accenture.com,732075312,73207531200148,7022Z,NULL,SAS,NULL,Etablissement secondaire,Entreprise,NULL,Francaise,3721,2016,1 362,2 M€,2016,NULL,NULL,NULL,NULL,M€,NULL,NULL,Mme,NULL,NULL,NULL,NULL,NULL,1504257664,
3577,ACE MANAGEMENT,,0,0,0,Finance (Assurances / Banques / Bourse / Capital-Dvpt),NULL,,7 rue de la République,,69001,Lyon,NULL,FR,04 72 00 11 42,,04 72 00 11 43,contact@ace-management.fr,www.acemanagement.fr,429025422,42902542200057,6612Z,,SA,NULL,Etablissement secondaire,Entreprise,,,1,NULL,NULL,NULL,,,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472922990,
3578,ACERDE,Advance Ceramics Deposition,1,0,0,Etudes / Ingénierie / Architecture,NULL,PA Alpespace bât. Cleanspace,354 voie Magellan,,73800,Sainte-Hélène-du-Lac,NULL,FR,04 26 23 67 38,,04 79 26 48 27,info@acerde.com,www.acerde.com,489811372,48981137200023,3320C,,SAS,NULL,Siège,Entreprise,,,12,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472922990,
3579,EXPERBUY,NULL,1,0,0,Autres services,NULL,NULL,4 quai des Etroits,NULL,69005,Lyon,NULL,FR,04 72 53 16 40,NULL,04 72 53 93 49,contact@experbuy.com,www.experbuy.com,385109004,38510900400163,4652Z,NULL,SAS,NULL,Siège,Entreprise,LABEL,France,49,2016,92,1 M€,2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M.,NULL,NULL,NULL,NULL,NULL,1538732382,
3580,ACI VILLEURBANNE,NULL,1,0,0,Mécanique / Métallurgie,NULL,NULL,10 rue du Pérou,NULL,69603,Villeurbanne ,cedex,FR,04 72 43 42 22,NULL,04 72 43 42 21,NULL,www.auto-chassis.com,970507174,97050717400013,2932Z,NULL,SNC,NULL,Siège,Entreprise,NULL,NULL,230,2016,20,2 M€,2016,Renault,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1535638700,
3581,ACIÉRIES DE BONPERTUIS,,1,0,0,Mécanique / Métallurgie,NULL,Hameau Bonpertuis,Apprieu,BP 50,38148,Rives-sur-Fure ,cedex,FR,04 76 65 15 15,,04 76 65 19 06,bonpertuis@acieries-bonpertuis.fr,,563620616,56362061600018,2410Z,,SAS,NULL,Siège,Entreprise,Forlam (Réaumont, 38 - 95,2%),,127,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,M.,NULL,NULL,NULL,NULL,NULL,1472922990,
3582,ACIÉRIES ET LAMINOIRS DE RIVES - ALR,,1,0,0,Mécanique / Métallurgie,NULL,,52 rte de Colombes,BP 60,38147,Rives-sur-Fure ,cedex,FR,04 76 91 42 44,,04 76 65 37 75,,www.alr-rives.com,312138696,31213869600017,2410Z,,SAS,NULL,Siège,Entreprise,,,160,NULL,NULL,NULL,Forlam (Réaumont, 38),,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472922990,
3583,ABGI (ex-ACIES ABGI),NULL,1,1,0,Conseil / Audit,Cabinets de Conseil,NULL,52 Quai Rambaud,NULL,69002,Lyon,NULL,FR,04 78 92 40 00,NULL,NULL,contact@acies-cg.com,www.acies-cg.com,490817897,49081789700021,7022Z,NULL,SAS,NULL,Siège,Entreprise,NULL,NULL,NULL,NULL,NULL,NULL,ABGI Group,France ,200,2018,26,6M€,2018,NULL,Mme,GIMOND,Lisa,NULL,bruno.demortiere@abgi-group.com,NULL,1560868650,
3584,ACM-ACR,ATELIERS DE CHAUDRONNERIE DE MONPLAISIR,1,0,0,Mécanique / Métallurgie,NULL,,101 rue du Dauphiné,,69800,Saint-Priest,NULL,FR,04 78 78 48 20,,04 78 00 71 52,info-acm@acmonplaisir.com,http://acm-acr.com,969506369,96950636900012,2511Z,,SAS,NULL,Siège,Entreprise,,,NULL,NULL,NULL,NULL,,,100,2016,15 M€,2015,2015 groupe : 15 M€,NULL,NULL,NULL,NULL,NULL,NULL,1472996521,
3585,MTRL,NULL,1,0,0,Finance (Assurances / Banques / Bourse / Capital-Dvpt),NULL,NULL,37 av. Jean Jaurès,NULL,69007,Lyon,NULL,FR,04 72 70 03 70,NULL,NULL,mtrljeanjaures@acm.fr,www.mtrl.fr,777345067,77734506700154,NULL,NULL,NULL,Société mutualiste,Siège,Entreprise,NULL,NULL,NULL,NULL,NULL,NULL,Crédit mutuel,NULL,NULL,NULL,NULL,NULL,NULL,M.,NULL,NULL,NULL,NULL,NULL,1491483755,
3586,ACOUPHEN,,1,0,0,Etudes / Ingénierie / Architecture,NULL,,33 rte de Jonage,BP 30,69891,Pusignan ,cedex,FR,04 78 89 63 61,,04 72 45 30 46,acouphen@acouphen.fr,www.acouphen-environnement.com,950398479,95039847900085,7112B,,SA,NULL,Siège,Entreprise,Laurent Drouin,,14,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472923082,
3587,SIXENSE ENVIRONNEMENT,NULL,1,0,0,Etudes / Ingénierie / Architecture,NULL,NULL,66 boulevard Niels Bohr,NULL,69100,Villeurbanne,NULL,FR,04 72 69 01 22,NULL,NULL,NULL,www.sixense-group.com,451270276,45127027600012,7112B,NULL,SAS,SASU,Siège,Entreprise,NULL,NULL,23,2017,2,4 M€,2017,FREYSSINET SOLETANCHE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1563365632,
3588,LES SINOPLIES - GROUPE ACPPA,NULL,1,0,0,Hôpitaux et cliniques,NULL,NULL,7 chemin du Gareizin,BP 32,69340,Francheville,NULL,FR,04 72 16 30 70,NULL,04 78 59 22 80,contact@acppa.fr,www.acppa.fr,392469268,39246926800214,NULL,NULL,NULL,NULL,Siège,Entreprise,NULL,NULL,655,2017,50,7 M€,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1538750341,
3589,SETAM,NULL,0,0,0,Biens d'équipement,NULL,NULL,153 Rue de l'Arve,NULL,74950,SCIONZIER,NULL,FR,04 50 89 80 00,NULL,NULL,marketing@setam.com,www.setam.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,marketing@setam.com,NULL,1562160908,
3590,SOCIETE DES EAUX DE VOLVIC,NULL,1,0,0,Agroalimentaire,NULL,NULL,ZI du Chancet,NULL,63530,Volvic,NULL,FR,04 73 63 20 00,NULL,NULL,NULL,www.volvic.fr,395780059,39578005900014,1107A,NULL,SAS,NULL,Siège,Entreprise,NULL,NULL,870,2017,495,6 M€,2018,Danone,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1563365662,
3591,EO GUIDAGE,NULL,1,0,0,Biens d'équipement,NULL,NULL,6 rue des aulnes,NULL,69410,Champagne-au-Mont-d'Or ,NULL,FR,04 72 53 98 26 ,NULL,Fax : 04 72 53 98 14 ,info@eo-guidage.com,www.eo-guidage.com,430468645,43046864500048,2620Z ,NULL,SAS,NULL,NULL,NULL,NULL,NULL,20 à 49,2017,5,8 M€,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mme,NULL,NULL,NULL,NULL,NULL,1542986865,
3593,ACTA,,1,0,0,Autres services,NULL,,Parc des Tuileries,BP 28,69578,Limonest ,cedex,FR,04 72 17 12 92,,04 26 29 87 30,drh@acta-assistance.com,www.acta-assistance.com,385107180,38510718000023,8299Z,,SA,NULL,Siège,Entreprise,,,400,NULL,NULL,NULL,ACTA assistance (Limonest),,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472923082,
3594,ACTEASY - AETI,,1,0,0,Etudes / Ingénierie / Architecture,NULL,Chemin de la Lône,ZI des Lônes,,69310,Pierre-Bénite,NULL,FR,04 78 51 50 11,,04 78 51 50 85,,www.acteasy.net,495045759,49504575900018,7112B,,SARL,NULL,Siège,Entreprise,,,4,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472923141,
3595,ACTICALL PÔLE R2A,Rhône-Alpes Auvergne,1,0,0,Télécommunications,NULL,,Parc technologique Métrotech bât. 8 et 9,,42650,Saint-Jean-Bonnefonds,NULL,FR,01 53 56 70 00,,01 53 56 70 01,contact@acticall.com,www.acticall.com,451208292,45120829200131,8220Z,,SAS,NULL,Etablissement secondaire,Entreprise,,,NULL,NULL,NULL,NULL,,,1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472923141,
3596,ACTION'ELLES AUVERGNE-RHÔNE-ALPES,NULL,1,0,0,Associations, clubs et réseaux,NULL,Palais du Commerce,Place de la Bourse,NULL,69002,Lyon,NULL,FR,09 61 35 81 69,NULL,NULL,asso@actionelles.fr,www.actionelles.fr,433165768,43316576800063,NULL,NULL,NULL,NULL,NULL,Association,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1542808568,
3597,ACTIS - OPH DE LA RÉGION GRENOBLOISE,NULL,1,0,0,Habitat,NULL,Le Polynôme,25 avenue de Constantine,BP 2508,38035,Grenoble ,cedex 2,FR,04 76 20 41 20,NULL,04 76 33 08 24,NULL,www.actis.fr,348579095,34857909500012,6820A,NULL,Epic,NULL,Siège,Entreprise,NULL,NULL,286,2017,55,4 M€,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mme,NULL,NULL,NULL,NULL,NULL,1542214497,
3599,ACTUARIS,NULL,1,0,0,Conseil / Audit,NULL,Le Valvert,46 bis chemin du Vieux Moulin,NULL,69160,Tassin-la-Demi-Lune,NULL,FR,04 72 18 58 58,NULL,04 72 18 58 59,contact@actuaris.com,www.actuaris.com,413611344,41361134400024,7022Z,NULL,SAS,NULL,Siège,Entreprise,Addactis Group (33 - 81,92%),NULL,126,2015,23 M€,2015,Addactis Group,NULL,200,2015,NULL,NULL,NULL,Mme,MONGREDIN,Valérie,Resp marketing,valerie.mongredin@actuaris.com,NULL,1563365686,
3600,ACUMENT LA BRIDOIRE,,1,0,0,Mécanique / Métallurgie,NULL,,640 rte du Lac,BP 7,73520,La Bridoire,NULL,FR,04 76 31 24 25,,04 76 31 17 74,,acumenteurope.com,745521070,74552107000011,2594Z,,SARL,NULL,Siège,Entreprise,,,147,NULL,NULL,NULL,Acument Global Technologies Europe,,NULL,NULL,NULL,NULL,NULL,Mme,NULL,NULL,NULL,NULL,NULL,1472923141,
3601,AD HOC RESEARCH ,NULL,1,0,0,Marketing,NULL,Cité Internationale,34 quai Charles de Gaulle,NULL,69006,Lyon,NULL,FR,04 78 38 57 60,NULL,04 72 40 24 15,info@adhocresearch.com,www.adhocresearch.com,384846960,38484696000027,7320Z,NULL,SARL,NULL,Siège,Entreprise,NULL,NULL,17,2014,2.24 M€,2014,NULL,NULL,NULL,NULL,2.24 M€,2014,CA 2014 : 2.24 M€,NULL,NULL,NULL,NULL,NULL,NULL,1563365704,
3602,AD RES CONSEIL,NULL,0,0,0,Conseil / Audit,NULL,Villa du Peuil,227 rue du Brûchet,NULL,42370,Renaison,NULL,FR,04 77 64 25 50,NULL,04 69 65 65 09,contact@adresconseil.fr,www.adresconseil.fr,479303927,47930392700012,7022Z,NULL,SARL,NULL,Siège,Entreprise,NULL,NULL,1 à 2,2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M.,NULL,NULL,NULL,NULL,NULL,1503667363,
3603,Katsi,,0,0,0,Conseil / Audit,NULL,,12 rue Servan,,38000,Grenoble,NULL,FR,0629276703,,0000000000,contact@katsi.fr,www.katsi.fr,799509906,,,,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472923141,
3604,JETPULP (EX-ADD ONLINE),NULL,1,0,0,Communication / Evénementiel,NULL,NULL,12 av. Tony Garnier,NULL,69007,Lyon,NULL,FR,04 37 43 12 60,NULL,04 37 43 12 69,contact@jetpulp.fr,www.jetpulp.fr,419623152,41962315200032,6202A,NULL,SA,NULL,Siège,Entreprise,NULL,NULL,62,2017,5,1 M€,2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1527518501,
3605,AGENCE DE DÉVELOPPEMENT ÉCONOMIQUE DU PAYS DE GEX ET DU PAYS BELLEGARDIEN,NULL,1,0,0,Aide aux entreprises,NULL,Technoparc,50 rue Gustave Eiffel,NULL,01630,Saint-Genis-Pouilly,NULL,FR,04 50 42 65 20,NULL,NULL,info@ade01.org,www.ade01.org,NULL,NULL,NULL,NULL,NULL,NULL,Siège,Secteur public,NULL,NULL,6,2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1542303799,
3606,MEDICALPS,NULL,1,1,0,Associations, clubs et réseaux,Clusters et réseaux,Biopolis,5 avenue du Grand Sablon,NULL,38700,La Tronche,NULL,FR,04 76 54 95 63,NULL,04 76 54 95 61,contact@medicalps.eu,www.medicalps.eu,443306444,44330644400011,9499Z,NULL,Assoc,NULL,Siège,Association,NULL,NULL,4,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mme,HAOUCINE,Linda,Chargée de Communication et d’Animation,linda.haoucine@medicalps.eu,04 76 54 95 63 ,1562148261,
3607,COMEXA,NULL,1,0,0,Comptabilité / Expertise-comptable,NULL,NULL,20 boulevard Eugène Deruelle,NULL,69432,Lyon ,cedex  03,FR,04 78 60 16 01,NULL,04 72 84 68 46,comexa@comexa.fr,NULL,962503462,96250346200047,6920Z,NULL,SARL,NULL,Siège,Entreprise,NULL,NULL,10,2018,1,2 M€,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1563365723,
3608,ADECCO GROUPE FRANCE,NULL,1,0,0,Recrutement / Interim,NULL,NULL,2 rue Henri Legay,NULL,69100,Villeurbanne,NULL,FR,04 72 82 58 58,NULL,04 72 82 58 60,NULL,www.adecco.fr,998823504,99882350406396,7820Z,NULL,SAS,NULL,Siège,Entreprise,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5 100,2016,4 750 M€,2015,CA groupe France 2015 : 4 750 M€,Mme,NULL,NULL,NULL,NULL,NULL,1542996112,
3609,ADELAC,NULL,1,0,0,Aménagement / Infrastructures,NULL,Archamps Technopole - Bât Athéna 1,72 rue George de Mestral,NULL,74160,Archamps,NULL,FR,04 13 64 03 44,NULL,04 50 83 05 55,NULL,www.liane-autoroute.com,448817676,44881767600035,6499Z,NULL,SAS,NULL,Siège,Entreprise,Area et Bouygues,NULL,NULL,NULL,NULL,NULL,APRR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1541612330,
3610,ADEME AUVERGNE-RHÔNE-ALPES,NULL,1,1,0,Etat / Organismes publics,NULL,NULL,10 rue des Emeraudes,NULL,69006,Lyon,NULL,FR,04 72 83 46 00,NULL,04 72 83 46 26,ademe.rhone-alpes@ademe.fr,rhone-alpes.ademe.fr,385290309,38529030900454,8413Z,NULL,EP,NULL,Etablissement secondaire,Secteur public,NULL,NULL,40,2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mme,NULL,NULL,NULL,NULL,NULL,1541615355,
